cell_label,x,y,celltype_F,celltype_F_class,area
9611,15879,4772,L6 IT Car3,Excitatory,ACC
9612,23442,4770,VIP,Inhibitory,ACC
9613,23566,4771,Micro/PVM,Non-neuronal,ACC
9614,2380,4774,Oligo,Non-neuronal,ACC
9615,3517,4773,Oligo,Non-neuronal,ACC
9617,12355,4773,LAMP5 LHX6,Inhibitory,ACC
9618,12950,4773,Oligo,Non-neuronal,ACC
9620,24092,4773,SNCG,Inhibitory,ACC
9622,2092,4775,Oligo,Non-neuronal,ACC
9627,7350,4776,Oligo,Non-neuronal,ACC
9630,4639,4777,Oligo,Non-neuronal,ACC
9631,23299,4779,SNCG,Inhibitory,ACC
9633,2803,4781,Oligo,Non-neuronal,ACC
9634,4591,4780,Oligo,Non-neuronal,ACC
9635,22103,4781,Micro/PVM,Non-neuronal,ACC
9636,1912,4783,Oligo,Non-neuronal,ACC
9637,2160,4782,Micro/PVM,Non-neuronal,ACC
9639,4348,4781,Oligo,Non-neuronal,ACC
9640,9157,4783,Micro/PVM,Non-neuronal,ACC
9641,1739,4783,OPC,Non-neuronal,ACC
9642,11618,4784,Oligo,Non-neuronal,ACC
9644,20066,4784,Micro/PVM,Non-neuronal,ACC
9646,9081,4786,Oligo,Non-neuronal,ACC
9647,18409,4785,OPC,Non-neuronal,ACC
9649,8889,4787,Oligo,Non-neuronal,ACC
9650,3437,4792,Oligo,Non-neuronal,ACC
9651,10741,4790,Oligo,Non-neuronal,ACC
9652,12273,4791,Micro/PVM,Non-neuronal,ACC
9653,21601,4791,Endo,Non-neuronal,ACC
9654,12992,4792,Oligo,Non-neuronal,ACC
9656,18194,4792,Oligo,Non-neuronal,ACC
9658,23672,4793,Astro,Non-neuronal,ACC
9659,1202,4793,Oligo,Non-neuronal,ACC
9660,2691,4794,Oligo,Non-neuronal,ACC
9661,18162,4794,Astro,Non-neuronal,ACC
9663,4289,4796,Oligo,Non-neuronal,ACC
9668,20796,4796,L4 IT,Excitatory,ACC
9670,2879,4800,OPC,Non-neuronal,ACC
9671,18449,4801,Oligo,Non-neuronal,ACC
9672,10652,4802,OPC,Non-neuronal,ACC
9674,23850,4802,Micro/PVM,Non-neuronal,ACC
9675,5088,4802,Oligo,Non-neuronal,ACC
9676,14685,4803,Endo,Non-neuronal,ACC
9678,4084,4805,Oligo,Non-neuronal,ACC
9679,5558,4805,Oligo,Non-neuronal,ACC
9681,976,4806,Oligo,Non-neuronal,ACC
9683,8512,4808,OPC,Non-neuronal,ACC
9687,13394,4810,L6 IT,Excitatory,ACC
9691,23910,4812,L2/3 IT,Excitatory,ACC
9693,11421,4812,L6 CT,Excitatory,ACC
9694,20991,4815,SST,Inhibitory,ACC
9695,23213,4810,SNCG,Inhibitory,ACC
9697,2811,4815,Oligo,Non-neuronal,ACC
9700,6925,4813,Oligo,Non-neuronal,ACC
9702,9104,4816,Micro/PVM,Non-neuronal,ACC
9703,21353,4815,L5 IT,Excitatory,ACC
9705,5379,4816,Oligo,Non-neuronal,ACC
9707,12224,4818,Oligo,Non-neuronal,ACC
9708,4419,4819,OPC,Non-neuronal,ACC
9709,10893,4819,Oligo,Non-neuronal,ACC
9710,18492,4820,SST,Inhibitory,ACC
9711,1800,4821,Oligo,Non-neuronal,ACC
9713,8594,4820,Oligo,Non-neuronal,ACC
9714,13130,4820,L6 IT,Excitatory,ACC
9718,17445,4823,Micro/PVM,Non-neuronal,ACC
9719,11641,4824,Oligo,Non-neuronal,ACC
9720,18761,4827,Oligo,Non-neuronal,ACC
9723,10380,4830,Astro,Non-neuronal,ACC
9724,15580,4830,L6 CT,Excitatory,ACC
9725,18965,4831,Astro,Non-neuronal,ACC
9727,2424,4832,Oligo,Non-neuronal,ACC
9728,10689,4833,Oligo,Non-neuronal,ACC
9729,12204,4834,Oligo,Non-neuronal,ACC
