cell_label,x,y,celltype_F,celltype_F_class,area
3899,11289,3039,Oligo,Non-neuronal,A1C
3900,20772,3040,OPC,Non-neuronal,A1C
3902,22012,3041,Oligo,Non-neuronal,A1C
3905,17574,3045,Oligo,Non-neuronal,A1C
3908,24043,3046,L2/3 IT,Excitatory,A1C
3913,22645,3048,Oligo,Non-neuronal,A1C
3914,12390,3051,Oligo,Non-neuronal,A1C
3916,23960,3053,L2/3 IT,Excitatory,A1C
3917,11957,3055,Oligo,Non-neuronal,A1C
3918,12887,3054,Oligo,Non-neuronal,A1C
3921,19096,3054,L5 IT,Excitatory,A1C
3924,24662,3054,L4 IT,Excitatory,A1C
3925,10498,3056,Micro/PVM,Non-neuronal,A1C
3928,11507,3057,Oligo,Non-neuronal,A1C
3929,23293,3060,Micro/PVM,Non-neuronal,A1C
3930,17411,3061,L6 CT,Excitatory,A1C
3931,26661,3061,Astro,Non-neuronal,A1C
3932,14585,3064,Oligo,Non-neuronal,A1C
3934,26131,3063,Astro,Non-neuronal,A1C
3937,14629,3071,L6B,Excitatory,A1C
3938,18120,3066,Micro/PVM,Non-neuronal,A1C
3939,19480,3068,L6 IT,Excitatory,A1C
3942,12240,3073,Oligo,Non-neuronal,A1C
3944,18962,3071,Oligo,Non-neuronal,A1C
3945,22251,3071,L6 IT,Excitatory,A1C
3946,24688,3073,VIP,Inhibitory,A1C
3947,14476,3073,Oligo,Non-neuronal,A1C
3951,16621,3075,Astro,Non-neuronal,A1C
3953,18448,3076,Oligo,Non-neuronal,A1C
3955,23319,3075,SST,Inhibitory,A1C
3957,10263,3077,Oligo,Non-neuronal,A1C
3959,11684,3077,Oligo,Non-neuronal,A1C
3960,13193,3076,Oligo,Non-neuronal,A1C
3961,16712,3077,Oligo,Non-neuronal,A1C
3963,10702,3078,Astro,Non-neuronal,A1C
3964,21609,3076,L6 CT,Excitatory,A1C
3966,20798,3077,Oligo,Non-neuronal,A1C
3971,13377,3083,Oligo,Non-neuronal,A1C
3972,13830,3084,Astro,Non-neuronal,A1C
3973,12044,3086,OPC,Non-neuronal,A1C
3974,13448,3086,OPC,Non-neuronal,A1C
3975,15160,3087,Oligo,Non-neuronal,A1C
3978,13111,3087,Oligo,Non-neuronal,A1C
3979,17109,3087,Oligo,Non-neuronal,A1C
3982,17733,3091,VIP,Inhibitory,A1C
3983,21589,3093,Oligo,Non-neuronal,A1C
3984,26610,3091,Oligo,Non-neuronal,A1C
3985,15435,3092,Astro,Non-neuronal,A1C
3989,23795,3095,OPC,Non-neuronal,A1C
3990,17048,3097,L6 IT,Excitatory,A1C
3992,21560,3097,Oligo,Non-neuronal,A1C
3993,11248,3099,Oligo,Non-neuronal,A1C
3994,12223,3098,Oligo,Non-neuronal,A1C
3995,18440,3098,L6 IT,Excitatory,A1C
3997,15886,3100,Oligo,Non-neuronal,A1C
3999,25351,3099,Micro/PVM,Non-neuronal,A1C
4000,11365,3101,Oligo,Non-neuronal,A1C
4001,16686,3100,Oligo,Non-neuronal,A1C
4002,20861,3102,Oligo,Non-neuronal,A1C
4003,21906,3102,L5 IT,Excitatory,A1C
4005,11163,3104,Oligo,Non-neuronal,A1C
4006,24277,3106,LAMP5,Inhibitory,A1C
4010,22675,3109,Micro/PVM,Non-neuronal,A1C
4011,24544,3108,L6 IT Car3,Excitatory,A1C
4012,10095,3109,Oligo,Non-neuronal,A1C
4013,24235,3109,L2/3 IT,Excitatory,A1C
4014,13848,3114,Oligo,Non-neuronal,A1C
4016,16719,3114,Oligo,Non-neuronal,A1C
4021,19319,3116,L6 IT Car3,Excitatory,A1C
4022,13110,3119,L5 IT,Excitatory,A1C
4023,13792,3118,Astro,Non-neuronal,A1C
4025,11835,3120,Oligo,Non-neuronal,A1C
4030,25644,3123,Micro/PVM,Non-neuronal,A1C
4031,26043,3123,L4 IT,Excitatory,A1C
4032,11497,3125,L6 CT,Excitatory,A1C
4033,19913,3125,Astro,Non-neuronal,A1C
4034,24824,3124,Micro/PVM,Non-neuronal,A1C
4035,10080,3127,Oligo,Non-neuronal,A1C
4036,12482,3127,Oligo,Non-neuronal,A1C
4038,23038,3126,Oligo,Non-neuronal,A1C
4041,10402,3130,Oligo,Non-neuronal,A1C
4042,10558,3130,Oligo,Non-neuronal,A1C
4043,13584,3134,Oligo,Non-neuronal,A1C
4047,12846,3131,VIP,Inhibitory,A1C
4048,23499,3131,Oligo,Non-neuronal,A1C
4049,17939,3133,L6 CT,Excitatory,A1C
4050,22310,3136,Oligo,Non-neuronal,A1C
4051,22514,3136,L4 IT,Excitatory,A1C
4053,20350,3138,Oligo,Non-neuronal,A1C
4054,22214,3138,Oligo,Non-neuronal,A1C
4055,9867,3139,Oligo,Non-neuronal,A1C
4056,16350,3139,Oligo,Non-neuronal,A1C
4057,24951,3139,L4 IT,Excitatory,A1C
4061,16896,3146,Micro/PVM,Non-neuronal,A1C
4062,11340,3149,OPC,Non-neuronal,A1C
4066,15426,3152,LAMP5,Inhibitory,A1C
4068,13605,3153,Oligo,Non-neuronal,A1C
4071,26732,3154,Micro/PVM,Non-neuronal,A1C
4075,22371,3156,L4 IT,Excitatory,A1C
4077,12200,3159,Oligo,Non-neuronal,A1C
4078,17580,3161,L2/3 IT,Excitatory,A1C
4079,13826,3162,Oligo,Non-neuronal,A1C
4080,22000,3162,L5/6 NP,Excitatory,A1C
4081,24789,3161,Oligo,Non-neuronal,A1C
4082,15548,3163,OPC,Non-neuronal,A1C
4084,15010,3162,Oligo,Non-neuronal,A1C
4085,13909,3167,Micro/PVM,Non-neuronal,A1C
4086,14055,3169,Astro,Non-neuronal,A1C
4088,20717,3167,L6 IT,Excitatory,A1C
4089,23541,3168,L4 IT,Excitatory,A1C
4090,16111,3170,L6B,Excitatory,A1C
4091,20263,3169,Oligo,Non-neuronal,A1C
4092,23203,3174,Oligo,Non-neuronal,A1C
4095,16630,3172,Micro/PVM,Non-neuronal,A1C
4098,19601,3173,Astro,Non-neuronal,A1C
4099,11080,3174,Oligo,Non-neuronal,A1C
4100,13940,3177,Oligo,Non-neuronal,A1C
4101,21080,3177,Astro,Non-neuronal,A1C
4104,11452,3180,Oligo,Non-neuronal,A1C
4105,25057,3176,L2/3 IT,Excitatory,A1C
4106,18896,3183,Oligo,Non-neuronal,A1C
4108,23670,3182,Oligo,Non-neuronal,A1C
4110,12737,3184,Oligo,Non-neuronal,A1C
4111,14785,3186,Oligo,Non-neuronal,A1C
4112,17343,3185,LAMP5,Inhibitory,A1C
4113,22875,3185,Oligo,Non-neuronal,A1C
4116,11248,3186,Oligo,Non-neuronal,A1C
4120,26703,3188,Oligo,Non-neuronal,A1C
4121,14274,3190,Oligo,Non-neuronal,A1C
4124,11025,3193,Oligo,Non-neuronal,A1C
4127,19498,3196,SST,Inhibitory,A1C
4130,18764,3197,Oligo,Non-neuronal,A1C
4132,21711,3196,L6 IT,Excitatory,A1C
4134,11855,3199,Oligo,Non-neuronal,A1C
4135,18609,3196,Oligo,Non-neuronal,A1C
4136,25260,3198,L4 IT,Excitatory,A1C
4137,12565,3202,Oligo,Non-neuronal,A1C
4138,19092,3201,Oligo,Non-neuronal,A1C
4139,26988,3201,VIP,Inhibitory,A1C
4140,13865,3201,Oligo,Non-neuronal,A1C
4141,14098,3203,OPC,Non-neuronal,A1C
4143,11130,3205,Oligo,Non-neuronal,A1C
4145,25041,3208,Oligo,Non-neuronal,A1C
4146,12829,3208,Oligo,Non-neuronal,A1C
4150,18116,3210,Astro,Non-neuronal,A1C
4151,21956,3210,L4 IT,Excitatory,A1C
4152,15942,3211,Oligo,Non-neuronal,A1C
4153,10463,3212,Oligo,Non-neuronal,A1C
4154,13258,3215,L6 CT,Excitatory,A1C
4159,17810,3219,L5/6 NP,Excitatory,A1C
4160,18815,3219,Astro,Non-neuronal,A1C
4162,22239,3219,Oligo,Non-neuronal,A1C
4163,10999,3220,LAMP5 LHX6,Inhibitory,A1C
4164,12390,3221,Oligo,Non-neuronal,A1C
4165,16760,3220,Oligo,Non-neuronal,A1C
4166,21583,3221,L6B,Excitatory,A1C
4169,10176,3223,Oligo,Non-neuronal,A1C
4170,13138,3224,Astro,Non-neuronal,A1C
