,x,y,celltype_F,rotated_x,rotated_y
8912,15000,12586,Astro,5154.028124405004,18465.585400782515
8916,13209,12589,Oligo,3780.1141639498546,17316.650925163278
8918,12804,12594,Micro/PVM,3466.652226438235,17060.152165455824
8922,13961,12597,L6 IT Car3,4351.037284297832,17806.155563192508
8930,13431,12609,Micro/PVM,3937.3202781285363,17474.67066337607
8935,13508,12612,L6 IT,3994.377337419639,17526.46344265129
8941,15118,12621,Oligo,5221.923802354015,18568.24589423469
8944,15736,12625,L6 CT,5692.768117762796,18968.552814793446
8954,12663,12636,Endo,3331.642880351625,17001.69297910102
8957,15838,12638,Oligo,5762.548412035007,19044.07572874202
8964,13338,12650,L6 IT Car3,3839.7238529213246,17446.2992378431
8970,14838,12654,Oligo,4986.219367161045,18413.544830145383
8972,15723,12662,L6 CT,5659.026398443848,18988.540220262923
8975,12688,12666,L6 IT Car3,3331.510363139004,17040.74400263675
8976,15046,12666,Oligo,5137.843160013553,18556.437186277613
8978,13386,12669,L6 IT,3864.281021606991,17491.707887527315
8982,12510,12671,L6 CT,3191.940514215393,16930.158030328144
8983,15612,12674,Oligo,5566.2820139414025,18926.383328905147
8990,13023,12680,Oligo,3579.13622504825,17266.80247408541
8994,11408,12685,Oligo,2338.7605113626673,16232.530706657242
8998,14788,12695,Astro,4921.562853007947,18412.813271828934
9001,15832,12697,Oligo,5720.027676404787,19085.41562522792
9010,10991,12713,Oligo,2001.3219255108309,15985.937517825287
9011,15724,12712,L6 IT Car3,5627.653062402639,19027.48523002856
9013,11266,12713,OPC,2211.9841473685497,16162.704110489085
9014,13821,12714,Oligo,4168.584911927852,17805.792497681312
9015,14643,12720,Oligo,4794.416718513532,18338.760179502362
9017,11044,12723,SST,2035.4944048992713,16027.665705569863
9018,14258,12723,Oligo,4497.561245083667,18093.5850831024
9019,15987,12724,Oligo,5821.409299626692,19205.730904693544
9024,14593,12732,L6 IT,4748.401045041345,18315.813332335463
9029,13078,12740,Micro/PVM,3582.7014128386013,17348.118459205307
9030,14668,12739,L6 CT,4801.354865007463,18369.384714163785
9031,15292,12741,Oligo,5278.081022294332,18772.016271494424
9033,11273,12745,Oligo,2196.7772549604133,16191.717045936697
9034,12819,12745,Oligo,3381.0819640223526,17185.46669051209
9040,11510,12750,L2/3 IT,2375.115849931178,16347.887931648003
9041,14626,12750,OPC,4762.110334689913,18350.81412343126
9043,15127,12753,Oligo,5143.970237863461,18675.148849213572
9048,15618,12758,Oligo,5516.884121386446,18994.587787785258
9050,13470,12762,L6B,3868.8495071281363,17616.944179951046
9057,11184,12769,L6 IT Car3,2113.1723968903475,16152.894015309452
9058,15831,12768,L2/3 IT,5673.623711673923,19139.161993079684
9061,14037,12769,Oligo,4298.697193108792,17986.76706574515
9062,14215,12769,Oligo,4435.05310398397,18101.183260269354
9064,12366,12776,OPC,3014.137415389174,16918.031281060772
9065,14536,12776,L6 IT,4676.453856957354,18312.880394080566
9072,12326,12782,L2/3 IT,2979.6389120062945,16896.91604333203
9078,12601,12787,Oligo,3187.0871958155813,17077.51285821142
9084,13891,12797,Oligo,4168.856651342197,17914.369319138244
9085,11790,12796,Micro/PVM,2560.0400639589116,16563.10650674371
9087,12524,12802,Oligo,3118.459959550122,17039.50887891234
9088,12040,12806,OPC,2745.12329864179,16731.46385359653
9089,12848,12804,Endo,3365.3727839012963,17249.30415333702
9090,13952,12807,Oligo,4209.15748627559,17961.239807760314
9098,11173,12817,L6 IT,2073.8921027510846,16182.59348487261
9099,16028,12818,Micro/PVM,5792.395086484035,19304.09337434388
9101,16150,12818,Oligo,5885.852508544551,19382.513462725638
9103,15570,12822,Oligo,5438.975581096797,19012.76082687992
9108,15695,12825,L2/3 IT,5532.8027736576105,19095.407411420096
9109,12226,12828,L6B,2873.466237648817,16867.875326746846
9110,15171,12827,Oligo,5130.109910243893,18760.118792830584
9115,15135,12833,Oligo,5098.675584633491,18741.574705540585
9118,13318,12836,L6B,3704.8444686572466,17575.927752069496
9120,11837,12842,L6 CT,2566.4759227399227,16628.555568782445
9125,11685,12846,Oligo,2447.466016947092,16533.916029882566
9129,14057,12857,Oligo,4257.452772318755,18067.03472893335
9132,14549,12862,L6 CT,4631.132700284859,18387.116455114723
9134,13333,12863,Oligo,3698.979869842495,17606.252766179008
9136,14445,12866,Oligo,4548.892927761739,18323.330721479797
9139,15162,12868,VIP,5096.861218258674,18785.741526511283
9140,11824,12870,Oligo,2538.519291908153,16641.648574263854
9143,15879,12873,L6 CT,5642.9011459265475,19250.450464872127
9146,13778,12879,L6B,4029.585045275456,17904.549963579422
9152,12065,12888,Chandelier,2711.565825725468,16810.349188174452
9154,12575,12891,Oligo,3100.320128887087,17140.46900244394
